Time	TH	ErrTH	H	Prob[Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--Apoptosis--CellCycleArrest]	Prob[Migration--Invasion--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Invasion--EMT--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[Metastasis--CellCycleArrest]	ErrProb[Metastasis--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--EMT--Apoptosis]	ErrProb[Migration--Metastasis--Invasion--EMT--Apoptosis]	Prob[Migration--Invasion--CellCycleArrest]	ErrProb[Migration--Invasion--CellCycleArrest]	Prob[Migration]	ErrProb[Migration]	Prob[Migration--Invasion--EMT]	ErrProb[Migration--Invasion--EMT]	Prob[Metastasis--Invasion--CellCycleArrest]	ErrProb[Metastasis--Invasion--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--EMT]	ErrProb[Migration--Metastasis--Invasion--EMT]	Prob[Migration--Metastasis--CellCycleArrest]	ErrProb[Migration--Metastasis--CellCycleArrest]	Prob[CellCycleArrest]	ErrProb[CellCycleArrest]	Prob[Metastasis--Invasion--EMT--Apoptosis]	ErrProb[Metastasis--Invasion--EMT--Apoptosis]	Prob[Metastasis]	ErrProb[Metastasis]	Prob[<nil>]	ErrProb[<nil>]	Prob[Migration--Metastasis--EMT--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--CellCycleArrest]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[Invasion--Apoptosis--CellCycleArrest]	ErrProb[Invasion--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[Apoptosis--CellCycleArrest]	ErrProb[Apoptosis--CellCycleArrest]	Prob[Metastasis--Invasion]	ErrProb[Metastasis--Invasion]	Prob[Invasion--EMT--Apoptosis--CellCycleArrest]	ErrProb[Invasion--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--CellCycleArrest]	ErrProb[Migration--CellCycleArrest]	Prob[EMT--Apoptosis--CellCycleArrest]	ErrProb[EMT--Apoptosis--CellCycleArrest]	Prob[Invasion--EMT--Apoptosis]	ErrProb[Invasion--EMT--Apoptosis]	Prob[Migration--Metastasis--Invasion--EMT--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--EMT--CellCycleArrest]	Prob[EMT--CellCycleArrest]	ErrProb[EMT--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--CellCycleArrest]	Prob[Migration--Invasion--EMT--Apoptosis]	ErrProb[Migration--Invasion--EMT--Apoptosis]	Prob[Invasion--EMT]	ErrProb[Invasion--EMT]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Metastasis--EMT--CellCycleArrest]	ErrProb[Metastasis--EMT--CellCycleArrest]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[Metastasis--Invasion--EMT]	ErrProb[Metastasis--Invasion--EMT]	Prob[EMT]	ErrProb[EMT]	Prob[Invasion]	ErrProb[Invasion]	Prob[Invasion--CellCycleArrest]	ErrProb[Invasion--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Apoptosis]	Prob[Migration--Metastasis--Invasion--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--EMT--Apoptosis--CellCycleArrest]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Migration--EMT--Apoptosis]	ErrProb[Migration--EMT--Apoptosis]	Prob[Migration--Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Apoptosis--CellCycleArrest]	Prob[Migration--Invasion--EMT--CellCycleArrest]	ErrProb[Migration--Invasion--EMT--CellCycleArrest]	Prob[Invasion--EMT--CellCycleArrest]	ErrProb[Invasion--EMT--CellCycleArrest]	Prob[Migration--Invasion]	ErrProb[Migration--Invasion]	Prob[Metastasis--Invasion--EMT--CellCycleArrest]	ErrProb[Metastasis--Invasion--EMT--CellCycleArrest]	Prob[Migration--EMT--CellCycleArrest]	ErrProb[Migration--EMT--CellCycleArrest]	Prob[Migration--Metastasis--Invasion]	ErrProb[Migration--Metastasis--Invasion]	Prob[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis]	ErrProb[Migration--Metastasis]	Prob[Apoptosis]	ErrProb[Apoptosis]	
1.0000	0.1519	0.0016	2.0324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000025	0.000021	0	0	0	0	0	0	0.097047	0.001296	0	0	0	0	0.586329	0.002170	0	0	0	0	0.004363	0.000287	0	0	0.057216	0.001018	0	0	0.000279	0.000072	0	0	0.000229	0.000065	0.000704	0.000114	0	0	0.001677	0.000172	0	0	0	0	0.005662	0.000324	0.011918	0.000474	0	0	0	0	0	0	0.008764	0.000404	0.106563	0.001359	0.010645	0.000445	0	0	0	0	0	0	0.000825	0.000124	0	0	0	0	0	0	0.000893	0.000128	0	0	0	0	0	0	0	0	0	0	0	0	0.106860	0.001356	
1.1000	0.1487	0.0016	2.1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000088	0.000037	0	0	0	0	0	0	0.108488	0.001364	0	0	0	0	0.552797	0.002194	0	0	0	0	0.005287	0.000315	0	0	0.068060	0.001106	0	0	0.000454	0.000090	0	0	0.000399	0.000086	0.000866	0.000126	0	0	0.002522	0.000216	0	0	0	0	0.007460	0.000373	0.012402	0.000482	0	0	0	0	0	0	0.010196	0.000436	0.109444	0.001376	0.012868	0.000491	0	0	0	0	0	0	0.001061	0.000140	0	0	0	0	0.000005	0.000005	0.001357	0.000159	0	0	0	0	0	0	0	0	0	0	0	0	0.106246	0.001356	
1.2000	0.1454	0.0016	2.2744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000159	0.000054	0	0	0	0	0	0	0.118841	0.001422	0	0	0	0	0.522897	0.002206	0	0	0	0	0.006039	0.000338	0	0	0.078962	0.001188	0	0	0.000645	0.000110	0	0	0.000555	0.000102	0.001074	0.000143	0	0	0.003363	0.000249	0	0	0	0	0.009362	0.000418	0.012868	0.000493	0	0	0	0	0	0	0.012248	0.000478	0.110856	0.001384	0.014938	0.000527	0	0	0	0	0	0	0.001128	0.000146	0	0	0	0	0.000020	0.000020	0.002042	0.000194	0	0	0	0	0	0	0	0	0	0	0	0	0.104002	0.001345	
1.3000	0.1412	0.0016	2.3732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000202	0.000063	0	0	0.000003	0.000003	0	0	0.128412	0.001472	0	0	0	0	0.496556	0.002210	0	0	0	0	0.006621	0.000356	0	0	0.089464	0.001259	0	0	0.000746	0.000120	0	0	0.000772	0.000119	0.001191	0.000151	0	0	0.004478	0.000290	0	0	0	0	0.011575	0.000467	0.013386	0.000504	0	0	0	0	0	0	0.014295	0.000518	0.110043	0.001381	0.017256	0.000569	0	0	0	0	0	0	0.001228	0.000151	0	0	0	0	0.000055	0.000028	0.002824	0.000231	0	0	0	0	0	0	0	0	0	0	0	0	0.100893	0.001326	
1.4000	0.1382	0.0016	2.4601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165	0.000056	0	0	0.000043	0.000028	0	0	0.137858	0.001518	0	0	0	0	0.472078	0.002208	0	0	0	0	0.007199	0.000370	0	0	0.099112	0.001319	0	0	0.000913	0.000129	0	0	0.001072	0.000143	0.001275	0.000154	0	0	0.005881	0.000332	0	0	0	0	0.013713	0.000508	0.013460	0.000506	0	0	0	0	0	0	0.015771	0.000544	0.109065	0.001375	0.019811	0.000607	0	0	0	0	0	0	0.001361	0.000160	0	0	0	0	0.000100	0.000045	0.003600	0.000260	0	0	0	0	0	0	0	0	0	0	0	0	0.097523	0.001307	
1.5000	0.1345	0.0016	2.5377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000241	0.000067	0	0	0.000060	0.000035	0	0	0.146370	0.001557	0	0	0	0	0.449942	0.002202	0	0	0	0	0.007764	0.000383	0	0	0.109099	0.001379	0	0	0.001097	0.000144	0	0	0.001281	0.000156	0.001439	0.000166	0.000008	0.000008	0.007642	0.000377	0	0	0	0	0.015976	0.000549	0.013059	0.000497	0	0	0	0	0	0	0.016868	0.000562	0.106650	0.001363	0.022234	0.000644	0	0	0	0	0	0	0.001590	0.000172	0	0	0	0	0.000125	0.000047	0.004727	0.000296	0	0	0	0	0	0	0	0	0	0	0	0	0.093828	0.001287	
1.6000	0.1312	0.0016	2.6038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000265	0.000067	0	0	0.000135	0.000049	0	0	0.154126	0.001592	0	0	0	0	0.431125	0.002193	0	0	0	0	0.008140	0.000393	0	0	0.118856	0.001432	0	0	0.001278	0.000155	0	0	0.001537	0.000171	0.001637	0.000175	0.000031	0.000023	0.009338	0.000420	0	0	0	0	0.018032	0.000583	0.012797	0.000493	0	0	0	0	0	0	0.018600	0.000591	0.103415	0.001345	0.023936	0.000669	0	0	0	0	0	0	0.001700	0.000179	0	0	0	0	0.000194	0.000056	0.006179	0.000341	0	0	0	0	0.000016	0.000016	0	0	0	0	0	0	0.088663	0.001254	
1.7000	0.1292	0.0016	2.6603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000276	0.000072	0	0	0.000124	0.000046	0	0	0.161144	0.001622	0	0	0	0	0.413797	0.002182	0	0	0.000011	0.000011	0.008548	0.000405	0	0	0.128344	0.001480	0	0	0.001522	0.000169	0	0	0.001685	0.000178	0.001751	0.000181	0.000043	0.000028	0.011155	0.000460	0	0	0	0	0.019936	0.000612	0.012268	0.000483	0	0	0.000017	0.000015	0.000024	0.000017	0.020564	0.000623	0.100018	0.001324	0.025267	0.000687	0	0	0	0	0	0	0.001852	0.000188	0	0	0	0	0.000345	0.000080	0.007500	0.000375	0	0	0	0	0.000020	0.000020	0	0	0	0	0	0	0.083790	0.001222	
1.8000	0.1258	0.0015	2.7130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363	0.000080	0	0	0.000084	0.000040	0	0	0.167701	0.001649	0	0	0	0	0.396975	0.002168	0.000017	0.000017	0.000031	0.000023	0.009087	0.000415	0.000018	0.000018	0.138218	0.001529	0	0	0.001811	0.000186	0	0	0.001808	0.000186	0.001768	0.000183	0.000078	0.000039	0.013112	0.000498	0	0	0	0	0.022354	0.000647	0.011461	0.000468	0	0	0.000031	0.000019	0.000040	0.000028	0.022118	0.000644	0.095985	0.001301	0.026630	0.000706	0	0	0	0	0	0	0.001877	0.000189	0	0	0	0	0.000513	0.000096	0.009267	0.000416	0	0	0	0	0.000035	0.000025	0	0	0	0	0	0	0.078618	0.001187	
1.9000	0.1243	0.0015	2.7572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000494	0.000095	0	0	0.000137	0.000049	0	0	0.173288	0.001673	0	0	0	0	0.381644	0.002154	0.000036	0.000026	0.000020	0.000020	0.009270	0.000421	0.000020	0.000020	0.147259	0.001571	0	0	0.002030	0.000196	0	0	0.001972	0.000193	0.001643	0.000174	0.000125	0.000049	0.015491	0.000540	0	0	0.000020	0.000020	0.024582	0.000679	0.010629	0.000450	0	0	0.000024	0.000020	0.000023	0.000020	0.023446	0.000661	0.092541	0.001281	0.027694	0.000721	0	0	0	0	0	0	0.001951	0.000193	0	0	0	0	0.000751	0.000118	0.010857	0.000452	0	0	0	0	0.000037	0.000026	0	0	0	0	0	0	0.074017	0.001154	
